id,popularity,followers.total
4m2kfAHEnK7Z7qLGxeWtro,35,32561
7oI9zAoJoJxMcbQ9666TNy,3,123
1NjxlPOM0y5DQyrhE5VAVv,24,744
0w3RBoQy4ZO17GRXVWk4Oj,25,56
7KArBbdJ0GLtkEM3LUv1Fj,40,79496
5XbZrXWw7hLZCMrRKnv8lE,9,39
4qSaLWsra4abvHVVijKwlx,49,9226
4ehP4q7oBt5xGv3Ep0O0MS,58,44428
58Wsq5pz5tOvWXBR8hOfxg,54,38941
1v3tdpIdBSW14rHUfiEVOv,71,509582
2HB7K5UdSuYXmdxsPkK8Tm,30,3584
0KaCPegNwYNmKuyzGHZR3V,36,2051
2gSIgsQWEHbWvOiFvhvx3g,63,33966
6ZNAsA4h8V7SOLtiK8Vfav,44,122
2LX2SKJhvZjyH4Z7XMptjd,37,7098
6k970rXaWAWVfWMjqWtFNI,58,174772
2FHN0lFkoif5aZHW55PNKD,47,49733
081tiewtqFki2X2zWMzQGR,40,57
5UqnbnezI2TvaTWKwYhyrP,3,231
4H5tKZTXuVPxynMaaaBbWs,33,4135
0LFsP7WPfu5inz9a1amcE4,53,85589
1g4X3uOqgxWFRNV4MbEIbD,44,12699
2YjydjpJfm9VAtiV0XRmkm,59,34031
2uBR4Yh27WB4rn7t3c4uCX,50,92763
6aSJ9LaNaHOKiPchLDYGYl,51,100710
29cBzYwqCZF4fjCisS8UvU,52,20312
2dqKAUXAAymP0xs1CqfHNE,28,4
7GEiw0f7Nw3qcyXzF0XILg,13,54
43HPW60tz4BMYMRnmXMagJ,55,3537
5Ey2QDV20TPGPcSdbOU3Gh,27,3
3xIrRi4oP84o7Jr8OZCnpv,35,7276
5yC1kAgDOIOt8FWoPLc4GL,39,619
5oJvmyeWzyeahRtjup3Oys,68,40901
0aMqt2uGLuHj4eI8oXgVzN,74,131896
6EI5lmCSICOvroaH1bTwEj,47,1114
0AQ5aBNg651rlW5GS07Zt2,32,1972
5EzQdU1LSOQszQFjsYt1E0,30,4332
7GREWMFJ4IGk3I9Sco4uDM,36,6713
2mmqhYDTD0weseyXUf1QJ5,48,7546
21z9ZwLFpPHjud8XF36lnT,11,300
15D6XEjr6LVGGc6dNmS2yz,51,3388
770glnH67Mk4u2D41sxAhx,57,45228
01B0VzztVvPGwn0u34uR1i,0,2
16IWQKGP5XiiKxalXZuIMZ,49,63927
2praKdsjYPKh2yNXBdTWGT,55,319896
6XZYAWJLL8UIbxAqjKj3cg,51,258448
6n9XmMc3mX18mrTHYOCPIq,54,42069
5hHNaYRpbcz1qo09jeVcg8,52,148366
6VfLc8zWdECVGYp9JqSlHl,41,295
3thMwq9J3a0UeLnPGhA4Qn,54,29571
5uEeqYFuIChoWKy34jp8xE,68,15611
6LBCQo20ri3tsvbsWWLmr6,62,373317
7lNr9Gc533mufMhEAiwONA,15,628
1Nu3lDd06uk8y73zM6r6MW,28,7248
3k090bKo2iSqNdowffKHrt,65,75251
6tWH6gszrNBJEORqz2zc4p,42,9784
30o4QIjXJukHg0IGC93AV1,57,525
2RpHsROrX075xfIwHn6B2U,65,384405
2z9TaZgZXSneHduVuTbet6,25,618
3vVDusnDA0LcPH3NvZpoyM,56,578136
5c8JlthNH2qFzRcKIKswi6,30,9216
5erhFyQeO8a4q9oGmCvzFE,0,0
3deu8ErBXNJK80Qhj1Ao9X,0,4
3NFZHFNSDK0Q8k3k38ysTp,33,10196
2rf0ufpy1NIUGmEHqq27GC,55,8457
0CHentDviLeOrlfyu96uVm,43,76159
0f6U482Lbo91QNqNFH4Tat,55,6981
1PqkzV8bXUf9ZBPC6OJo7o,48,23934
7iURZ6msGELD5SZqMqKa7G,34,10198
6DOmlxxscipUKFC3MwHsC7,43,24973
1RTZXV2Txeij9hW1C88mfs,61,63888
1HFg9B0Jvwqzqiuqg9cASk,54,4951
5KQ3bv4ZmNAUYdYAo8TInq,15,105
1lcNsuCezUxbHD9TgM3Yhe,21,170
6o8Iqw9rr2WrJD33TK8Wrf,28,1154
1YlYLkI3GlVDFSQGjMXWbt,37,11474
0yyoIkPjNk7sC5hGw2NySx,31,5091
757epCpvbpqyBoMMzbIC3g,52,44247
2EoyPaSABsOtV5vo9UfG2A,29,354
6noxsCszBEEK04kCehugOp,62,576051
39Q7seDI6P5tEMTTeHOyGG,42,8637
4NEThNYJ3WyNcJWcmpjq88,65,68620
1uXZeCNXLcz5pOe1u79ygr,30,260
0Dx6HmR7Rhi8G1osUOxAew,43,17346
78CiW0UJbHspFaVuVexOK6,61,160511
2bIqrsdC6t8Ps4AcBp2rAP,46,5483
7kdGjv0IIQJcU2bth1yoqY,44,26079
0dmPX6ovclgOy8WWJaFEUU,58,612531
1m2L1oj16MHAnZqzquzW4B,54,3556
4PzPx1yc3kGVo4EgCiLqCQ,64,61231
4MXUO7sVCaFgFjoTI5ox5c,75,1476898
7rkCNsGJmoXH4OY2keNjsq,13,6
7z8eFxohsIg2Tu5evbNXXo,53,11611
0wGteya2LbgIvjDhSpN1Yx,22,6248
7rIGDigxVEPzkrurRYmROI,6,347
4dn4KQgTE4P3jrwa3iIVzQ,55,125861
3SPMI8EnvXagAYPkOmMNfM,3,11628
4HWQFmUSeG8MjX1Y73Alch,13,21
1ivdMszY5pONRVa24Sw1eP,23,5897
54lUDwCk35ihJuK3yJCqHA,55,109053
0hRyYPSF066dGIhL6Ew0AH,25,1309
530a0roPLtawMxdCfI2zrR,55,2254
41K03x2QpJG4rJJ84LceST,36,1422
0ovewqNmkiEZaXqDawcZPM,36,860
3EfUsd3rZ1OSo0yPzRSp9d,26,201
10GRqg0xzOzJI8yOgs5DbS,34,9589
6QS84S3i4gwdEKqWoTtDLd,56,467143
0zceqpBQTndQrTQiTnxZB9,35,646
2g6fa86fL6oLcoDqanBbuR,57,207440
7jp5R1aY7kmwBYX3jIu9yk,64,216316
1WxYe59SGsEY1e6fLII0hB,11,862
6Bb2R70eMBIIG6BFJhHv7f,31,151
4kyXgKmaqyXCLW5e0sxqMj,27,67
0zKk6d6A89gsoJIa5SELoE,8,15
1esNGCDFDiy6sKEqPhlLb4,52,16692
7pw76YDbXaQLa6gVML3D1i,22,24
2i39kyD5xPwMviLpujcVQf,17,2
6uD7fMzRa46LcvRCACEd2G,32,23104
5eQFyVrUrVtRxg4Jq6gqJz,16,16
19i93sA0D7yS9dYoVNBqAA,74,1566308
5WxnXxSCyhDSyi6elhBZd4,58,28061
4tw3q2XQK5QtHDOAyIQDPG,2,41
0iwGIlzG9idat5utthNNNl,30,44
2CiMCmeBorjSa1ppz6wY6s,45,21671
1ruutHJcECI7cos2n5TqpO,69,25394
5Kkhk21siwbW3BfZUwpykJ,58,1449
04x4BZxaG9HItY5B0PWovC,21,190
1Z2nqx2d00QHX0w2QxEPVJ,0,1
6YgYCNwq3DkSXEd6kGxoZW,59,20725
5Pwc4xIPtQLFEnJriah9YJ,86,13151189
6x93MmBokl9aGi8KXjdjSY,36,1070
3IeSFkhDr7xORkX3ZZDmLe,12,43
0Q6X1jqwOVQuclYp2P1bub,45,68184
1wA8oP2wKhSpq5X3igjJT1,23,251
2gBArQmbKcvnqUy6M05BMJ,19,249
3CToDZ1efEGUy1tI1aU1fv,16,112
4bODqflR0Wo3i3fCwwCIPq,60,899
5IFCkqu9J6xdWeYMk5I889,69,582873
35XzuElgeowBM8jJJq8Cot,37,270
1jvUFmkNVLprRtucuorQd3,22,4501
37dlxkmntAdqpBltLwReGA,40,12402
7rXpNIZpdGCQIENvuY5jJx,37,169639
2pRZp2WxvnWWiSPcSSYkNV,54,64470
4l1cKWYW591xnwEGxpUg3J,62,600212
2MYIJPSFNT6JYOPgvLEU1V,32,7573
2yubv6vkDmju0RKMpGgqrQ,24,3
4Bg4oUbN39ECtRSb4xRSFw,40,11766
29qTQ8hGGr8QxXbVRaC7WC,52,82807
5IGzJRTfPMTEskvGPBqD3n,0,53
7o4wZjVHHWe4gw4oenPmcK,36,4502
6Uo8DWitVulLdaWaZ3gwun,28,1378
369T15zvlCiF4zAzdZNhQL,65,29161
6ylILp3B8g9YQJB7UL4zuc,1,575
