id,artist_id,artist_popularity,artist_followers_total,main_artist
2rmsL9k7LneLszZFBo1H6f,4TGQEYGf6Pu4tpMNGQ4tOR,48,20390,魚丁糸
1WQ7vQzj05YlBPrzrL4lJD,18KcOgLds5SUgIpQIveiJN,51,23428,Keko Salata
725srCTfReJSumfXCSEVXG,79b4a4Bg30Y0RlO5de5jni,66,69093,Alberto
1yNHcXf3122hM5UJ0UWz4V,2nSO7JYDbJrYbJmP39qUzj,56,681928,Binz
33yO1PRALqeFtutNk7bh7H,2NfSBtmWe7oPw1EmetJVso,77,389083,Boza
457FpDa2Doe8sZjTTCHgRC,46XcyK8FnyCJJlvYCUwVZH,51,24296,Hkeem
6a2MiFLoPdra0t2KlQ9pKM,4iCzh7b2cLbHVsPOwhr8W0,68,96618,JoeyAK
79Fqemc1Gv0lCtecVJRUdZ,2cusgVvXlY17oMoDAbcdqD,50,75876,Marpo
0nQxeBOawWjkbsoIQFd1Q6,7GtwhLS4bvGc7mkyWjPmpC,59,298682,Kali
2MbhPOhE7Aa6qvUd9IdlYd,2q3tx3ThgAhkMoUYiEnIjy,48,23468,Samson & Gert
3S8jK1mGzQi24ilFb45DAZ,1uNFoZAHBGtllmzznpCI3s,96,56581960,Justin Bieber
2AC5Mgd841eYhsyxJrYLbi,6qFt3TjvxMt77YGsktWG8Z,68,1286830,Sofiane
0qc2ZB0v0MzKjrSAsZk7Xn,4AripACtwIVH69NdCbsJus,48,57261,Niels Destadsbader
7lA4RALtzRl7IrqSVm96AY,5dXlc7MnpaTeUIsHLVe3n4,73,1793641,Coez
1GjWE4T7qZNeIy1hgm98R9,31W5EY0aAly4Qieq6OFu6I,87,6273626,A Boogie Wit da Hoodie
4ya6kBUnCe27g0hZM57L1n,7Ln80lUS6He07XvHI8qqHH,88,13727278,Arctic Monkeys
1psvnQxSDdIKTDM2Jm8QKt,7c0XG5cIJTrrAgEC3ULPiq,87,4111157,Ty Dolla $ign
4UXWZHAS7DhRqLVxraGH1w,76FwN3u5L3LhNTqpF2gdh9,33,3265,Uku Suviste
1Z5OpewMdjSaSolEvlydqB,329e4yvIujISKGKz1BZZbO,91,12165601,Farruko
3FtbBcQAVaDXBI2FA66SKn,61vDDKyVrpOG3it5bAC8kt,47,10760,Labello
37aStseEdbd33KlmUlIHX6,1vCWHaC5f2uS3yhpwWbIA6,85,21344986,Avicii
1tPYO18I89JmKc1bIH62FR,6blqR0Jxu7I4GxXX4bLbEB,18,1606,Beyjan Beatz
0O4vuJynWVVdyvoHvZtnk3,5OSQDUNmll299ldFIF1Dau,59,262555,Trans-Siberian Orchestra
3WRQUvzRvBDr4AxMWhXc5E,6gK1Uct5FEdaUWRWpU4Cl2,70,901999,Petit Biscuit
1SdjayIbDqAkI8q1BigiPM,3tNPDodRNuLdezJnTsYOqy,65,158697,Dree Low
4gSHYMtV10T42jFtdToORg,7ge3QfYPMTjDbMoVLuuIuJ,68,149281,Hef
5rd1IgSMbApoXsVY9aorCV,4RVnAU35WRWra6OZ3CbbMA,75,1447705,Kylie Minogue
6WgWBjA8MA6HC5CFX4gF8K,0IxgA9wO4Op3CSnPlhfwV1,70,112418,Kevin
5pD9x23lsoQr464mlmaKNJ,6jJ0s89eD6GaHleKKya26X,88,20610489,Katy Perry
3VCfmjE0oEMYQUil14wd0J,1UNm54Ts7vBGKcWjbjEmMw,60,1003138,Midian Lima
29he0Joo5sz2607A6ZBT6H,7bXgB6jMjp9ATFy66eO08Z,91,15389071,Chris Brown
08RDjwmSMLc6QPmxrxXDq0,5M3ffmRiOX9Q8Y4jNeR5wu,50,9127,Wren Evans
6Iw6fQVKZi0fWtEQBrTFcP,2EMAnMvWE2eb56ToJVfCWs,83,5464168,Bryson Tiller
61uBmSKOWFU9o72hT2fw38,6zOyQHK37vQX62CFowxvWc,37,8242,Sini Sabotage
0AICBlLzFCTpUqmAbtzB2z,6Xgp2XMz1fhVYe7i6yNAax,89,7215763,Trippie Redd
3f8UE3sDLcCwMC6fIrFlZO,7A99rYkGTYIjcIChNz2u7F,35,1748,Sando & Mando
5Hb3T7wUFrt32aXVBhELvF,2vMxLcwqHKxvVdBtKRpyUY,53,125114,Dorian
4WjTbrxOPvSwQlajlE4aXH,1cZQSpDsxgKIX2yW5OR9Ot,72,318005,Lennon Stella
5qzhIb7R9WxxABUjzwyb1D,0MtTfq27LQu7CmE5t308Up,48,24578,Bubbi Morthens
5IHELnC7n2iqinXATyf16K,1yIifIA91WgmfzBcjbQB8i,67,674071,Kurdo
0SHcPBePTpLy22XVvVmYqu,5SulO4l40qDuV9zUGLZx7n,76,3140532,Capo Plaza
10lgpgAGhQBv0WqcrzGM7D,2hPgGN4uhvXAxiXQBIXOmE,66,875668,KIDS SEE GHOSTS
5j1yOqWONR9T6l43AzJ6Es,31W5EY0aAly4Qieq6OFu6I,87,6273626,A Boogie Wit da Hoodie
1mBOHsHxrCYuxkTBfEQQd0,5eioJDe26lOqkAMbuhzZYs,79,1201472,Gzuz
