region,id,min_date,max_date,n_days
Switzerland,3YHs4REANQ6TVDWFsrBaFA,2019-09-13,2019-09-19,7
Greece,194U52vElkbmFe8QTefrgw,2022-02-11,2022-02-11,1
Estonia,1HfMVBKM75vxSfsQ5VefZ5,2019-10-23,2020-01-09,78
Malaysia,71vPAjlG1x606483GTJNhY,2020-02-17,2020-03-22,35
"Korea, Republic of",13S94fbOuw2M66UchaCz2k,2021-12-24,2021-12-25,2
Global,07FkzikE6FuHIa8Ma7zJGc,2018-07-15,2018-08-07,21
Czech Republic,5aUSEPNd3m5xliFK4pn5mU,2019-10-06,2019-11-20,43
"Korea, Republic of",3nOz1U41SZZ0N3fuUWr9nb,2021-12-30,2022-01-26,26
Romania,42Gy8e73Q2BfnGYdLC2WkT,2019-08-24,2019-08-28,5
Poland,7dPGzLzVRm6gTJyh95zcfw,2021-06-25,2021-06-25,1
Czech Republic,0psS4i5YooJrXfDnGvWRLi,2021-01-22,2021-02-07,15
Singapore,2of5xn0GU0TdFneR1saRLH,2017-06-06,2017-06-16,11
Panama,5EVzgDPaM0LCM3M5exl3z8,2021-07-16,2021-07-16,1
France,44BdgwXryaVltM1ixhWZoA,2018-12-31,2022-01-01,8
Austria,6lhZLbb0czULpjb2kFryPS,2020-10-10,2021-02-05,76
Spain,3z4XtoZVf8AOoR18Lnp7e1,2021-10-15,2022-02-11,120
New Zealand,59PYPDxTbqJpiGfyogPb5h,2019-09-06,2019-09-15,10
Sweden,2HGymMoOdB4ZYv0AAqYmgF,2018-04-29,2018-05-03,3
Estonia,5sckZhskSmeF8TFJ05oSCB,2021-05-21,2021-05-29,9
Bulgaria,7tt5I7ztXfKzZRqyL2FCYb,2021-06-11,2021-06-12,2
Slovakia,2xGjteMU3E1tkEPVFBO08U,2018-01-13,2018-03-09,35
Philippines,6TIU9Ehmi6dMzZK73Ym4yj,2017-03-03,2017-04-09,34
Costa Rica,7xT1n5JKpB0bMPh6FL589e,2021-04-30,2021-06-29,61
Peru,4VufezCz0uNJknt5ffTtgs,2017-07-28,2021-07-29,9
Estonia,15JRvf02KKGHKgC31jrpuh,2020-12-25,2020-12-25,1
Turkey,6pYiuQAl8P8JdHYNW8SkMB,2017-07-03,2017-07-19,17
Canada,74iZuPGwyL33VlTr6jTnab,2018-10-08,2018-10-22,15
Italy,10gegK23YbRahz1KK9RVRV,2019-11-08,2019-11-21,14
Latvia,0YQEWdfq3ajtNtK106Dr0k,2022-01-28,2022-01-28,1
Poland,7Lbxvt42JsNSKVCaN63qhD,2018-12-01,2020-12-05,54
Belgium,51FaEdIT7cHCC31zgDZti5,2021-12-14,2022-02-09,43
United States,4ii5S0UcGpdAANl098llgB,2020-07-10,2020-07-10,1
Egypt,6VbsFyGgGufJoZC8mrmJO1,2020-07-01,2021-07-20,323
Global,63wx9vdskaXbYxyDx4oJCZ,2020-03-06,2020-03-26,21
Thailand,1y2ENgtP8xO2TGfcgqTRWm,2018-04-27,2018-05-21,23
Taiwan,2jZIfoe48eUeOEnP9Ho4h2,2018-10-05,2018-10-05,1
Ecuador,3pnpENd2PXAKuetjLIylEr,2020-10-16,2020-12-20,28
Israel,3rKmSkxh9lnqM3p09W8FTJ,2020-06-06,2021-10-04,485
Austria,1mDGDb2fUmUMdqV3tb8VKQ,2017-05-01,2017-06-01,30
Malaysia,0OY5AaPP9GDdvFHBP1v1CM,2019-06-19,2019-06-19,1
Morocco,3TK50fco0zFfPZkNvO2681,2021-07-16,2021-07-17,2
Estonia,5RBOcBpJXaNnHCGViJmYhh,2022-01-18,2022-02-01,7
Switzerland,7xbC2ckCDoJfkVmjCdpMjB,2018-09-19,2018-09-26,7
Italy,0mMqFWid8PWiOAt9AfBZlA,2021-05-18,2021-05-20,3
Saudi Arabia,3jQvH2VoTRe5CEnIS0MnCE,2022-01-07,2022-01-07,1
Turkey,2W0AJEbIC2vdZTV2nVSAsg,2019-01-01,2019-01-01,1
Austria,3jHsYztlhj1GunIF6yIePH,2018-11-28,2018-11-29,2
Estonia,30QRKfHBopZn6UNqqSJQ9O,2021-12-24,2021-12-24,1
India,5A8VGIbYimFP6u8WBPRg4S,2019-08-29,2019-11-19,81
Switzerland,30f7TNgvsS1AWtyuVqMucH,2019-06-01,2019-07-29,35
Russian Federation,6PNalfPNYYPIlXW8DO1yAK,2021-11-05,2021-11-14,8
Bulgaria,2FhEj9lvEIaJihjFprRrGt,2020-07-03,2020-07-04,2
Belgium,29GT81KcfMhfYV1BSpL3p2,2021-07-16,2021-07-20,5
Canada,6Aw4ogv0H5cbKfHDqIyruw,2021-06-01,2021-06-01,1
Mexico,2fvisKVcmhGrZdf9FPEhl4,2020-09-16,2021-09-16,3
Chile,2TPZomzhdB7toV3cx0hj08,2017-04-28,2017-05-05,8
Iceland,26Fqtv4Aa7kyd1WWGHai6A,2018-03-30,2018-04-13,15
Spain,59rRvUjxSrKnimSsg678f9,2021-08-28,2021-10-31,60
Turkey,3eekarcy7kvN4yt5ZFzltW,2019-10-04,2021-02-22,498
Iceland,4eL3XeuGaEoVT8ttDh3hwY,2021-09-24,2021-11-05,22
Uruguay,7DrluKkTviBwCc8AV3VGmf,2018-06-08,2019-04-21,313
Ireland,2ACOWPLUe4A4KuQ5ioD2od,2017-01-01,2017-02-18,43
Peru,3QHMxEOAGD51PDlbFPHLyJ,2017-01-01,2021-01-01,30
Japan,0fpqH7Z8rOw5qTJBZjLR57,2021-05-24,2021-06-07,14
Guatemala,6Hw21Z5CmEV78jrncFpMwz,2020-06-16,2020-07-09,24
Norway,6Q36XucqrejMId3RydVhch,2018-10-12,2018-10-12,1
Singapore,45S5WTQEGOB1VHr1Q4FuPl,2019-12-13,2021-02-23,120
