danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.713,0.476,6,-10.643,0,0.062,0.452,8.85e-5,0.153,0.568,119.976,5v4tIRrLr9uBL8Atuqdzgo,182000,4
0.744,0.556,1,-8.997,1,0.0433,0.247,0.00214,0.103,0.47,108.012,3R5cc9t10Ol60Nz7eXU2TW,395234,4
0.588,0.834,11,-4.558,1,0.0559,0.148,0,0.237,0.659,167.961,0IL20mzbwXaGVRrcan6AOB,167438,4
0.57,0.693,7,-7.233,1,0.0309,0.00796,0,0.203,0.925,117.917,25QuVnrd6Bb2LmJSHhnBY3,184013,4
0.724,0.771,5,-6.208,0,0.369,0.0889,0,0.362,0.867,90.565,1AzqpMy3yLYNITSOUrnL8i,143733,4
0.609,0.677,11,-7.164,0,0.154,0.439,1.23e-4,0.324,0.389,179.844,6k2FK8tZ9R4ZWiaGfI6mrh,151000,4
0.631,0.545,2,-9.175,0,0.0656,0.392,3.81e-6,0.117,0.408,155.098,4uLiDvXjw0pz5r2k5pFzbt,182710,4
0.731,0.413,8,-8.41,0,0.241,0.531,9.59e-5,0.0639,0.328,129.972,0ZJBlaxxol7oM2MgN2DrGe,212000,4
0.754,0.742,2,-7.457,0,0.311,0.531,0,0.102,0.578,153.018,4IezuA8zWQzdCZDp2to33G,188240,4
0.796,0.475,2,-12.338,0,0.0336,0.137,2.73e-6,0.179,0.819,124.86,4LzBXwDgGodInEBPd2nFGR,233000,4
0.758,0.744,9,-6.708,1,0.265,0.211,0,0.0614,0.528,139.844,2WqzK5Lr4gMDw2saueuhR6,132200,4
0.649,0.417,0,-9.157,1,0.0283,0.852,4.67e-5,0.108,0.353,125.977,7G5LHVsLpVIMjDsWJIgDNW,177907,4
0.505,0.467,11,-5.154,0,0.171,0.138,0,0.0965,0.693,100.759,22SAfNzN9GHbTUghiCR8l5,248893,3
0.723,0.668,9,-7.007,0,0.0641,0.028,0,0.14,0.79,114.92,04DFs2b82gqDzJyKKWMGtO,194851,4
0.804,0.673,4,-7.466,0,0.0688,0.316,0,0.103,0.246,119.994,7inCeq8nQ5RMnbNU5Beu3g,241240,4
0.491,0.304,9,-9.379,1,0.0291,0.5,0,0.0975,0.459,149.288,4Akic5cb5RHJrTdQZY7AfX,148000,4
0.802,0.728,10,-8.8,0,0.203,0.00603,0,0.157,0.587,140.016,5i5BmjoOO78J0Wue42swsk,241250,4
0.69,0.567,6,-7.979,1,0.0471,0.155,0.0397,0.127,0.426,152.056,5SqR7dxbJiTSadTaVEhZ04,223453,4
0.569,0.851,1,-5.673,1,0.32,0.0666,0,0.0361,0.324,140.078,69IfkCa5H3J1xRCQjKIaqt,188649,4
0.766,0.854,2,-4.129,0,0.0802,0.0567,0,0.044,0.764,109.982,3D7v5jf65I2bNdl4VA5zOZ,209760,4
0.18,0.157,10,-11.606,1,0.035,0.932,0.0462,0.12,0.0742,87.584,6TePheJzh3meNhOIXCrEhQ,283317,3
0.442,0.949,4,-4.58,1,0.0688,0.00232,7.16e-5,0.0891,0.472,160.042,1RbsnRJu6FJAyRer1ADMgd,227348,4
0.801,0.61,1,-9.068,0,0.294,0.345,0,0.114,0.701,90.897,1Z2giiXJb5P6BcxKDlKDmA,191929,4
0.808,0.68,8,-9.52,0,0.379,0.0977,2.03e-5,0.104,0.79,95.933,0kxZ2XTmyIklhqUxohMOAO,182965,4
0.921,0.553,10,-8.515,1,0.0919,0.0572,0,0.115,0.748,131.971,0IaWYTFIHIu1iHytmq3gup,167286,4
0.606,0.158,5,-15.385,1,0.0449,0.988,0,0.215,0.591,82.058,0xm76qr3OVJu79OO8jzH5c,81867,4
0.619,0.394,5,-9.747,1,0.0444,0.0472,0.02,0.1,0.123,124,0830WmzxBqOp9C93j8m9sN,319750,4
0.443,0.577,4,-6.468,1,0.0361,0.551,0,0.151,0.2,159.775,1hrF3WXuEqjP5N6wTHSDH3,243000,4
0.493,0.855,9,-8.471,0,0.042,9.69e-4,8.12e-4,0.0976,0.224,99.987,27cP62ISJbdnyiJFRfdlzk,220799,3
0.779,0.813,8,-6.544,1,0.413,0.0159,0,0.0638,0.563,76.046,6ZYuQDdAIOQmdXozETHBmF,183046,4
0.439,0.791,1,-2.832,1,0.106,0.208,0,0.479,0.537,171.15,3diZHzXj5LNxztVwBjnebn,207815,3
0.563,0.568,5,-6.737,1,0.0477,0.278,0,0.157,0.689,178.057,17lu3VOOdnuf6fvtj6TDL5,207752,4
0.55,0.947,0,-4.13,1,0.0656,0.0335,5.13e-6,0.198,0.217,128.025,4UVuGgYk3qlAfR8DGH30C4,181896,4
0.527,0.522,2,-9.29,1,0.0314,0.775,0,0.0847,0.272,132.066,4FhJ7YSRxATHnaRg4nGs6t,273573,4
0.528,0.746,0,-5.136,1,0.0485,0.609,8.46e-6,0.132,0.427,77.97,1mp0zS57ydCqZp9Tm4VvIy,275133,4
0.826,0.649,9,-7.342,0,0.437,0.273,1.97e-6,0.152,0.747,99.995,2CRKcpU6VqHtPQKwWhbxKh,112998,4
0.469,0.836,5,-1.918,0,0.117,0.521,0,0.149,0.649,145.318,4hyuE2Boq9jWKLbd0HUihE,322953,4
0.486,0.624,4,-8.919,1,0.0266,0.062,2.86e-4,0.0775,0.131,88.959,6i56nPbOOe3hEeUku2Wnpx,240600,4
0.807,0.501,10,-6.397,0,0.0377,0.645,1.53e-5,0.262,0.401,94.958,0DYvTdqBqW6erA1a7pFzVo,215560,4
0.727,0.881,11,-5.367,0,0.12,0.144,0,0.23,0.324,143.992,5CauoQKw5sHgxRbz1hKqct,170160,4
0.689,0.523,7,-7.85,1,0.0287,0.421,0,0.105,0.292,110.044,4s6SaLK2BCUa1HE648d75p,189653,4
0.846,0.513,11,-5.955,0,0.0739,0.285,0.0064,0.147,0.83,135.022,54H2zOnBtJXEL7MuUPjqlH,138032,4
0.652,0.749,2,-5.576,1,0.0425,0.25,3.45e-5,0.4,0.221,121.91,1TRHyzw5kzhB7ePP6Y7EqL,212459,4
0.561,0.696,3,-10.051,1,0.0326,0.00127,0.00671,0.0981,0.752,154.019,74k8Lrh6PG6aA3pRIF4GWm,273107,4
0.769,0.864,3,-3.701,0,0.2,0.0165,6.35e-4,0.0698,0.564,96.435,54X4KTDuPvRt4DydkREVUC,282067,4
0.396,0.885,8,-4.49,1,0.0763,0.00629,2.73e-6,0.0853,0.254,81.101,1ypGgXyVFqAW6fVedgBE8z,229693,4
0.71,0.576,10,-7.321,0,0.532,0.0672,0,0.118,0.61,76.285,0oD0xGRc0X3GSv82JtH736,177813,4
0.609,0.854,7,-5.043,1,0.407,0.0781,0,0.0642,0.856,181.826,0Xt07wEnASnw91iFJ1su1j,139832,4
0.616,0.863,6,-2.83,1,0.268,0.153,0,0.236,0.815,171.958,6ydubKY1r75XKuQheIQB8f,154427,4
0.382,0.517,1,-7.851,1,0.0329,0.773,0,0.241,0.476,203.853,3PYgmrJfalvsoUdOGUtqZq,272493,4
0.434,0.388,2,-9.279,1,0.0286,0.405,1.25e-6,0.274,0.367,74.046,1BRXPHyLUxdNzO4sKT5gM3,230240,4
0.826,0.581,6,-13.117,0,0.057,0.027,0.576,0.0226,0.282,114.014,7aC4nFXiy7P6nCIgCj4fau,412654,4
0.679,0.664,8,-6.382,1,0.1,0.271,0,0.0994,0.408,84.958,4hhjo5UwwsRGmC9GET4NLZ,203373,4
0.728,0.741,6,-7.075,0,0.0473,5.82e-4,0.00206,0.33,0.31,123.006,3KyKxJ4P3pVCgaZwaq2rUC,212166,4
0.697,0.857,11,-4.104,1,0.0714,0.0116,0,0.0979,0.45,127.981,2LTUU8GVI7JuJmD3Rwnk8y,186583,4
0.417,0.341,1,-9.927,1,0.0379,0.798,3.24e-6,0.114,0.376,129.802,0vSedCue1lzFxTBnPUEzSM,242072,4
0.736,0.759,0,-5.363,1,0.0271,0.406,0,0.162,0.551,93.97,4vQo5NMeli9BXKKctKUwhn,221880,4
0.466,0.667,3,-4.907,0,0.051,0.676,0,0.0969,0.262,78.121,72ZUblBPFcN7FILPbCtoR5,243797,4
0.759,0.547,5,-7.717,0,0.351,0.359,0,0.0996,0.249,126.992,4eUxD9V0Df1prftDNBpQ9Z,218853,4
0.681,0.694,1,-5.855,0,0.0713,0.164,0,0.234,0.597,149.978,5XUXH0gOSm1m8GISvz7Yj3,185722,4
0.891,0.859,11,-3.555,0,0.141,0.357,0,0.169,0.715,119.984,4NgBGkkjK006wySQL4IaBA,275400,4
0.786,0.869,8,-4.181,0,0.268,0.489,0,0.13,0.64,101.036,3B9ONLDvVVIGlN7IEO5Qli,178218,4
0.769,0.71,4,-4.583,0,0.197,0.559,0,0.398,0.588,129.867,1xeLSOaNvDg68FGjIkJxkU,214154,4
0.0988,0.815,0,-6.021,0,0.0503,4.21e-4,0.16,0.129,0.299,68.009,4nBuy9T5Q1qwK3rR2uEzW4,377066,4
0.561,0.293,9,-7.333,0,0.034,0.846,0,0.143,0.317,117.115,0ANOTG5KTos5Rr2UbXErBt,236170,4
0.604,0.673,5,-5.701,0,0.238,0.228,0,0.118,0.515,138.077,4oOBtATAjvsYILeALltgZw,210472,4
0.708,0.635,11,-7.726,0,0.0779,0.306,0.00404,0.127,0.548,91.964,2TuMA5Gb9E8ro0EMLzhyzV,193641,4
0.349,0.0789,2,-18.315,1,0.0432,0.928,0,0.434,0.315,78.104,5u9SlTV7leZFNpE7ukfE6F,73467,3
0.651,0.806,2,-4.842,1,0.0311,0.00399,0.00455,0.0927,0.386,125.641,3iEqGBZ2wcpVzhiAcwXVC6,239877,4
0.69,0.909,7,-1.885,1,0.0632,0.0216,0,0.155,0.681,119.959,4aaIVbYadp2y7wnFXJpYmV,202440,4
0.806,0.83,0,-5.444,0,0.216,0.271,0.00213,0.137,0.621,142.979,64haesXb9PmM0AK0cgniRH,421427,4
0.68,0.501,8,-9.055,1,0.302,0.0362,0,0.32,0.353,80.969,1cRagkJSJdNHnbKMUhDZoG,166133,4
0.615,0.422,5,-8.019,0,0.0504,0.604,0,0.112,0.185,135.859,3krZxyBsWEHfEfJegYaWTd,214094,5
0.66,0.915,1,-4.071,0,0.285,0.144,0,0.229,0.709,173.969,7EzdQnopwog0YWUoRBEowX,225507,4
0.914,0.627,1,-5.783,1,0.184,0.174,0,0.147,0.297,119.891,1ObUIebNfOVxqVbfAt6VL0,225427,4
0.601,0.652,0,-6.872,0,0.0373,0.0171,0,0.106,0.489,103.115,1gm0mdKIT5VMRrzEChEx2A,144747,4
0.795,0.49,4,-14.784,0,0.209,0.0637,0.00164,0.102,0.364,136.036,2lj1RNDztkIsyzhAX2soEa,185299,4
0.538,0.72,9,-5.545,1,0.0356,0.0548,1.95e-6,0.0995,0.507,89.964,52GlC3zkLC14J0SgsF8iCs,243507,4
0.653,0.607,9,-8.659,0,0.045,0.0901,1.48e-5,0.458,0.329,120.007,5kuQiN6f4ChrUYyP2es8r6,195500,4
0.68,0.346,7,-6.533,1,0.0302,0.231,0,0.26,0.224,95.952,4KnnWpUyPfQD6X5SQSTlH3,223562,4
0.812,0.496,2,-8.498,1,0.301,0.0424,0.0141,0.0871,0.465,146.952,5zeZvO7j7n44XvglAhUZm8,119739,4
0.69,0.799,1,-4.049,1,0.23,0.086,0,0.121,0.425,87.885,4jGB5G7Xv1qWmfaYUq6kYj,142000,4
0.424,0.594,5,-7.579,0,0.0317,0.249,0,0.105,0.45,175.995,11DVD49RgiEyGYkCYfy53c,199893,4
0.595,0.416,10,-10.957,0,0.0366,0.536,0,0.293,0.185,74.556,3MWlVSkoLS1e66nlZ2tuWJ,127880,4
0.655,0.699,5,-5.142,0,0.0385,0.00165,0,0.0378,0.856,102.033,1B9uNrhhq3e5Cr430zOVoT,236453,4
0.448,0.581,7,-9.666,0,0.054,0.0782,7.19e-4,0.165,0.144,120.039,0XOIoanspjo1MbuJdsdli8,172375,4
0.563,0.542,0,-6.485,1,0.0371,0.677,0,0.106,0.417,123.015,6VeoA1vxx9dueepuakIbMr,265366,4
0.746,0.808,6,-4.934,0,0.169,0.122,0,0.0718,0.828,99.029,5w4EuDURpzI2tOAMAHhcJL,185018,4
0.293,0.105,10,-10.558,1,0.0335,0.97,1.07e-4,0.105,0.191,81.826,5mqVdt50q0fYvyz3gd6eKe,263281,4
0.758,0.574,0,-4.67,0,0.0407,0.169,0,0.27,0.346,99.955,4tcdEtudRV8K5xSE219QBl,216280,4
0.863,0.457,4,-6.422,0,0.0526,0.0103,5.32e-5,0.109,0.401,115.009,4gdfWGyzB9j4ZVc2JWdpv2,202640,4
0.559,0.829,10,-4.733,0,0.42,0.537,7.9e-6,0.279,0.471,150.102,5Etw2n2b9lCkTYyg0kom3a,128219,4
0.689,0.853,8,-6.11,1,0.0742,0.0623,0,0.26,0.701,100.078,4bMfWDvKPCFQ2df7Qf2UTs,212640,4
0.855,0.809,8,-4.973,1,0.0639,0.00807,7.47e-4,0.293,0.667,123.999,2Efpgql2LGwTC3TGEed2ol,180803,4
0.714,0.577,11,-8.827,0,0.163,0.483,0,0.0884,0.644,94.413,4Eyx6eVLTAPqnmJqcBce2A,184529,4
0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,00pXPeNvEBEFNUTVBT62QI,253627,4
0.683,0.929,7,-3.385,1,0.0532,0.00945,0,0.238,0.56,98.908,5zNt0SfH8GpQ6Cen4NcmOt,219996,4
0.617,0.593,9,-7.269,1,0.549,0.125,0,0.102,0.657,78.405,4gzOM98QcOiaMgKO6F4ki9,163387,4
0.44,0.587,3,-6.536,1,0.0346,0.402,0.0298,0.972,0.335,166.232,0EnPYNBAivlIwZji17bbNI,307560,4
0.747,0.845,5,-3.487,0,0.257,0.0708,1.1e-5,0.0846,0.704,170.007,24mpSVk6WH8bJizh8t9lGk,187340,4
0.853,0.893,1,-3.002,1,0.0604,0.26,0.00369,0.036,0.734,125.052,4qYLeFxZa6AY42pLuKgR6u,162830,4
0.822,0.575,6,-4.587,0,0.0464,0.0182,4.45e-5,0.109,0.286,110.028,1eN1K7YPRButXU7Mq0V58N,184515,4
0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-6,0.126,0.483,119.041,3Ytr1SUCUi6J3L9dRFx5iH,225850,4
0.443,0.506,10,-14.308,0,0.298,0.855,0.169,0.185,0.923,171.155,318msyQLDOz6ZceZ11dOhE,45227,4
0.675,0.364,5,-10.988,1,0.0541,0.25,1.78e-6,0.106,0.576,106.752,4ZzBr0kNVmlQDTyZPNfZO1,223640,4
0.805,0.549,1,-7.99,0,0.182,0.364,0,0.0604,0.585,149.008,3icz4IcVjEyBrdpdoJR6Ny,198942,4
0.679,0.783,2,-5.152,0,0.0415,0.00605,1.11e-6,0.303,0.386,118.14,5Y7x0VU1VOwPWr6MsHbcxS,149553,4
0.591,0.512,5,-10.041,0,0.0313,0.192,3.34e-5,0.116,0.271,119.979,2h5j6lshsRkShTQ527SOlj,323482,4
0.655,0.745,9,-3.716,0,0.0368,0.447,0,0.0904,0.275,101.979,39jtccUn5BcqpMbjzqFRlj,211624,4
0.565,0.536,5,-9.706,0,0.293,0.296,0,0.176,0.261,83.475,4AcWoNZHJ6tLBcKWifiTbC,208383,4
0.865,0.531,8,-12.379,1,0.366,0.208,2.34e-4,0.103,0.932,105.289,0YqxST7jMa8B4Ecr1675u6,170333,4
