id,popularity,label
1aTY4GUFd6anFZtFCLMda9,0,[PIAS] Recordings Holland
4m2880jivSbbyEGAKfITCa,80,Columbia
0Mo3qkXbWCNtpylATHrdTB,45,Universal Music Ltda.
13red0j6IH2yGLSFfOyafu,31,Universal Music A/S
7dp6hzS6SHMKJIR55Fk0ja,0,AK26
6CvzNZr9Utv9rCSOe4uBbl,0,Sparsfa Empire
3d8apQ32ZVRDPFtllVTKGR,67,Just Music
57aywsDeQl0aevL6OyYUiR,0,Hollywood Records
0fYctMs4EvoEqzDh8Kmg5g,52,"Tommy Boy Music, LLC"
0289kJfdXVBPSDJfQ1fPJz,60,Pop Art
5GF0u5GXnsHblYNWUqjGf2,0,Freq Records
062WLc0yAxzn4M8H4JilzE,0,Jakie Selected
5ofmwqey2otEVLQdwb8I2Z,55,Albin Myers under exclusive license to Amuseio AB
1b94efPAgSUWhMSdcMjOKW,32,Universal Music A/S
38VbM2pFAykoCv0xhBuCt2,53,WM Poland/WMI
24LXks0BfkUiJYDeyrjgUz,0,Universal Music Group
3F8v4omWXxDHrqntA83WJY,67,Atlantic Records
4mWCzSBfHnpKRU3vsqhEJc,46,Sony Music Entertainment
5NqPy1Pv3SapkfQO5AQ3LX,33,WM Germany
6EfFlVRIBSc7ZKGeZ1tu72,9,GMM Grammy PCL.
5uLwxrxExey2DMjxYTEnMC,69,Fifty One
6GbiSEYL78RDLpxoxkWavo,47,BIGHIT MUSIC / HYBE
4XjNP4kBNrfLn5EyIbgSg1,0,UNI/MOTOWN
5ei2FUEslnFcCvVhADSNw1,39,Rimas Entertainment LLC.
5v6iBhIlflzR9rEd1LAMbd,79,Mike WiLL Made-It
7MHSRnphSbcjz5tXIWpPfK,0,1990655 Records DK
01gwy6CbJo0sNcKxzlZ9om,49,Zee Music Company
2lC3JwOhJ3TnMaB3SF77Xh,0,Janavi Rec. / Zhara Music
0uMtbJEWrul6VZjK3raLf7,10,WM FR Affiliated/Play Two
6L3AvTd86IFDOEcPCLUmf7,69,BMG Rights Management (US) LLC
5vNQ4pSsDKLgga0VNK7oef,40,WM Poland/WMI
5xInXUBHp3zpSTpwUsgvmp,43,Columbia
2B1rR1kR6GZEgaA3yT2lJr,32,Minos - EMI SA Distribution Deals
3RwNnn4Uy7gJlmy0TTWD1m,71,Sony Music Entertainment
43vpE3l8mSosR1kCaVgg8U,42,WEA Latina
2sTMGWvQQsAPBulWdhlqUw,63,Musica Studios
4rXwrPKTyRyq04obOFHcPM,4,Trey Pearson
2e0X8nPXGyBzP8PbRzH8tY,15,RCA Records Label
7Dsuv4908ZXkROMTvaxj0R,0,Perros Blancos
0U6ldwLBEMkwgfQRY4V6D2,76,Aftermath
38DL0Sxx17dD0Oz0HWL98k,50,Universal Music Pte. Ltd. Distributed Labels
6aLCUh6URBoxafrNAIx9nK,46,Columbia
7GyEce9m73gYW4vGzYnTL8,30,Dynasty Group - Athens
2J9T2cIXGQKn7NgaUBdfuh,26,Sony Music Iceland
5HAhJMVRmC0tAOcdsNcmMJ,46,Spinnin' Records
5l5m1hnH4punS1GQXgEi3T,73,RCA Records Label
65IooMK92cequcE8uQVYyz,0,Universal Music Group
3mrObCjylmcQf1GElvxES6,19,igroovemusic.com
1LFtTDnbfv2qA16IaVYxkH,50,AnanasSquad
73Z9Vqa26RpesXei7TD2ct,38,Joe Weller
3E0oZZxsP6NfUSsNDvHGIO,42,Universal Music Division Capitol Music France
6qdyT9Hc2CqwBbHoIhpkfT,2,Perennial
4ltDWhyXNLzDAZqgonZCcj,53,Universal Music AB
35c9iadFgrCWLY0tuJH23H,67,Warner Records
6OdyEQvrmIC8PSZACKnhbY,38,Life Is Pain
1E0KHsC7G5hPSLnblAtcgB,35,Mostiko
2dItXypmeMVli42NpaHWbN,45,Sony Music Entertainment India Pvt. Ltd.
0X07JkRhHKo84GgPJ3pUsw,0,COMEMUSIC
3kMhqO0PV4eLba288G7asQ,0,Maskulin
1uuSC0RCJB3dSp8Mb6GflZ,19,CM/Republic
3LwyXFpFA20WAIF6tdxeFy,51,PT. Universal Music Indonesia
1c4fHechMRstHLcSZ0zogC,55,VORIA MERIA
4otKAThWI3iPPFqgf2ECjG,2,Sheikh Qalam Records Sdn Bhd
3aHlMp7CPvMIb43hsmQcqg,0,NMC United Entertainment Ltd
5KeGeLrrMIPyCCbmngDuUY,32,Ulpiano Vergara
6MOIl1xFO4xKee3WN76fuV,31,WM Germany
42Ixy1P9l0szBLBTcxKLJJ,3,WM China
3A7jNGcQiAmE44HLozVN0b,54,East West Records
3zz8j3tXoGOOKAe8A8rQBL,0,Universal Music Group
2yEzTbr4yUrON7fEn0BjJC,38,Capital Music
4OKWl5yLgaPbnW0lnKuYKU,0,GMM GRAMMY PCL
0jtYqrgMbSzLPsI1HUxh9s,54,Universal Music AS
1WAHIJjk8BTFhDftohIqRn,49,Universal Music A/S
0mFvqksmJxbh63NpfbFDyW,39,Alis i Eventyrland
2PhtZZE1Re3j09XzBxz7jQ,0,4AD
5QbKjrvhIJg27yUgfZr7f4,36,WM Sweden
4A7yWcOUgpHVYJxzUlFV0R,42,NaNa Disc
3rVtm00UfbuzWOewdm4iYM,74,SM Entertainment
5ZkrNdw8WiUr1kvpwAIT6x,57,Blanco y Negro Urban
69PQjUs1UQT0KdN9TaiuLk,0,Fighter Within
3ijyvvXTkjX4y5P0I6hnYD,61,Cataleya Edition
68VSsvhAPUhlI7qtfpwehQ,30,Purple Money
33qqYIFSFSVYO3wCkc1Ksh,58,Panty Droppaz League
09thQ5ZPZsOB8725QOKsXB,0,Ab Station Records
53cPfyFw4dpOXH7AA2aIxl,52,SilentTrap
7bYD4tCxzQOzGZmKBKtT3m,67,WM Spain
5S6eyoaaK2EixfG9QqPf4J,51,Universal Music Chile
5YLRVHDVRw3QqWbeTGpC5B,79,Epic/Record Company TEN
1Xi55xFMaymXdSWshmxhw2,68,SBK/EMI RECORDS
7ccP54HOejyla6bAxCiWuc,49,Black Butter
0UAj5ojmfVRXXs7ok8yAJP,0,Geet Mp3
79RG7sPJ8Dc98e11zJApjq,0,Trubinor
0Ua35t5TCvQpDWw3IdfvmR,0,"B'In Music International Co., Ltd."
3otdXHVMfMXwiE0jxD7isJ,3,Sony Music Labels Inc.
32DwZkg0XyWk4gClmn5RjE,0,JASA Music
3SswlfZWUhOT9HMA8TdiaP,17,Noah's Ark Music BV
0RknDHqvusvgIEAFOtSrAn,36,Sam The Kid
4zcMnHs2jPcV582s9HXYpy,51,WM Italy
6MyZfF9K8Uqs0BSmqECGl6,0,Universal Music Asia Pacific Ltd.
7i0oTszZnGNqL2dr19ogwZ,25,Nonstop Music Norway
5ocpnIrbBOWWpHqk2uI1pa,65,Atlantic Records UK
2FMStHyNgsv28Tmd7adWjT,41,Carosello Records
6Z23VPG0x2aiTDDj6clCj0,52,SONY MUSIC TURKEY
6wO3lYes5ZC15FFXu0CQ3h,0,AllPoints
0A4ZcJl6ilmPzkF8sVtcRi,24,Fivestar General Records
6pRNPM205l7nvADm9tAGvK,0,PaarisFrank Productions
697CRdVgCqQNWL6vtlfrBr,0,Vikingo
6InAyFgw61nfRcAMmA4Xt2,35,Nek Music Production
6RpgooQjcQuthnF6LTxnlX,0,Distruction Boyz Records
4CRr1w76xU2SzjPMYplzKc,0,1138802 Records DK
2w5DxwYbaURL06Qpw4fBVg,30,愛德斯工作室
5KDd8Sv0z9yKzEvfNSh8am,45,Caballero Prod
4EH3RHBzIK7l1EnlLp79D3,52,Dayeden Musik
09kp4BUzRDXpC3bXzbuHTU,17,Universal Music AS
39ErCKP97l7CBirNK9Nw61,46,Hamburg Crhyme Records
029yJWuOUs4QmrtnexkU4F,48,Universal Music AS
5vZy4cohzmdhOUGCdsUNpt,56,Kygo
5rPpbeVh04eBuBEmc4U3Zr,36,Positiva
4zHBCvRy2ZJRmT25RCXAeS,36,A Good Day Records
0gn5rXmiR9a5Mhh6qvOZvd,19,WM Finland
5nnWIHaAHIAdkaZeWHSS2G,32,WM Finland
0pBAd71oIWyzc7hNeUxbXG,46,B-Unique Records (UK) Ltd
7aC0FAQzlNZeJCyWotU5o0,38,disco:wax
2jnSzwzszUNSMwmchLkVmd,33,Universal Music Distribution Deal
4cC2lT0Dg7DWbGXw3KagZt,0,Zeitgeist
5FRB5oQaHxlDNe6gMGuzu2,68,UMC (Universal Music Catalogue)
2uVGQZ4RFqyNMA9A6yOKL4,40,Universal Music Polska Sp. z o.o.
6T95R8cncgESOF3Kxb45iF,0,Walboomers Music
2lFI0KAX7HvEa82V3BoDRP,44,Sony Music Entertainment
59dRkRFSrvViYEZdpAkuGg,40,Coke n Music
461CsgAXSvk8icdd4UkolQ,7,AS
4KHbLAA6JFvPlcQXPLzutO,12,Universal Music Oy
6F9oeCN01VlQWeoOVYBGLX,44,Global Records
71G8NXRzRio8JvT8og5zcL,66,RUN-UP RECORDS
7tH6TxzO8oOBnDAjr82UgN,25,DOĞAN MÜZİK YAPIM
4uc1VEXiqKexBIrWS8RRG7,4,Yin Yang Media
1w5GjhLzku1HtKwdWtodMA,31,Authentic Athletic
3DPmASdBPeNhHmd0ItKe5s,13,GMM Grammy PCL.
4boGzRgUV0s8xff494FWdp,39,Universal Music Italia srL.
4DZ2mXEtUDsltgPqGwnRDd,60,T-Series
6nivL8o2WeSYM3GasYrKh5,32,Panik Records
6kUf5YtsENA5mLQl8ZCK2N,36,Sony Music Entertainment
1OTww66EW1gQNFmTw4Oca1,36,J Storm Inc.
6i8R8VYKzjikBHD0LoPhh0,25,New Vintage College / Top Notch Music BV
63wQoxPAHqNSY3QcorTKXh,0,"2016 La Commission, LLC."
6Z2OHQNMvCswpXfUiChj02,0,88rising Music / EMPIRE
5ulUSVUjCvHTlRURqw5T9A,39,Urban
4rAdbBvg2N19d7YfUMztUA,37,Big Beat Records
7tsbYQeZUlM0IbLKsYHWMQ,38,Medialaan
4LyiBvw8yLaLHcjREec3fN,33,Keller GmbH/WM Germany
0mYN2jmOxsGapLG9mHVSqi,53,Cloud 9 Music
7vmK77PL6WhlC2oIDJiFR2,67,Som Livre
2ZLqLRXpWCWeQqFyaIX5e7,0,Loke
4zFU3ZK12M0u99BxTrty3V,10,Magenta
3TiarQIknAe5fYIuwqE5BQ,53,Gazgolder
19rjGbl9C2P4XxaIlPWCk3,51,Warner Music Russia
7yQkJyLJGnNc3dIt255EYt,40,WDS
1nilvk1MGUZ3sk5fOJzoQk,51,Spacespeakers
