id,popularity,album.release_date,explicit,album.id
2Bgjj3t5bOh34DfENfgyUY,47,2019-10-28,FALSE,0h6wCpdgpSOAbYDDYJVuwr
4UeKL6FD1qvuWlIjZdSzOL,0,2019-01-05,FALSE,0Wh7IcdGPEn4ARGBiZc0Wr
0j1tGcJJfq1nIs4i5GoHXv,59,2020-06-14,FALSE,0Zy7O3lhW9XpFuJ3bRlRkz
1iu3UTLNy436K7S8KVOdjS,52,2017-09-29,TRUE,3HHp5I6Q6SEyU5bkvoCtnV
0sSpDgxsOTAIPMoDshAanw,35,2020-03-27,FALSE,5ykT6pH7hzHmawdcbZo0om
7lk2SWsLObPlO98pOvz6V0,0,2017-09-08,FALSE,3cVoxcpHC36i7ZYn9o8aSh
7L8hkKW4hnemNfuOfEZcle,57,2018-08-24,FALSE,2lATw9ZAVp7ILQcOKPCPqp
7aDbQecyhZyz7ja3ms2DFC,25,2017-09-29,FALSE,3pOsx45hHJniMqEIZAzh0y
1ZsqKAJ0amXXok7hCpb9xG,21,2019-12-13,FALSE,1TYMSFKA9mwUyvhfkyw6pV
4eNOLmx8r2IJAVKvBBL1jv,81,2021-04-02,TRUE,3MEKpJ7wSSp6Z661ThjrUJ
0HXhk04CE4fE2Xr387TET3,52,2017-12-15,TRUE,1VAc77UvK5wj8ZSWCo3V2b
3B8Tx2eKzZ1u6bPnozOL1h,62,2018-10-19,FALSE,5Jazpq8mEgSgQs06mdwkQd
028Ebyd9MicrfwIxrDU2Hf,11,2021-10-09,TRUE,1s3m9V3J1CyGJ0KiYnUqOa
0YzJK20Qi8Gafg3MnLcv0H,40,2018-08-31,FALSE,4qFe67KI67C5eu6STZ60RL
2GmmomPvbJHXMdi0uIKDqx,35,2018-12-14,FALSE,17suWo5jEaWb4Bq7q8RCFS
7eyc03SmeBHnAtTQP9QbI4,48,2020-10-02,TRUE,18O52VCY2HjcvgfkcVysF8
6lfSsCL894Qw15xbt7cSUy,61,2019-09-21,FALSE,5GvIKf7yN7gjZfYohbvHmj
6aHFdm58mPF4YPJX3FgI0z,64,2021-01-22,FALSE,4FYIha9FBi1bZueBbSJSRI
6Pmd7VNEaEvdNJ8Npdi5si,61,2021-06-10,FALSE,5fAdf2u8u7VlbNKlk9brUL
4aYWfNZcVzZ8akgqNwGSm2,35,2019-06-07,FALSE,1X5KUGaxHxjB848BSwx0Ya
3npY4eCgzQ1M2VXMFI1gst,52,2022-01-14,TRUE,5kTqGC8BIuVebBnyCXFhTE
2GztDscTOq8r21C1QrnhsM,26,2021-03-19,FALSE,1WjBoh9FLz6D98P2YYyVGG
5yKXn2WXISKovZSzczhBI9,54,2021-06-24,FALSE,194szTkDIGJsa9iZJNStwN
7dagzRIC16qXsu7yYOk44U,52,2019-12-06,TRUE,1hYSsXW9fupV6XB73n39bz
3rM4JL6TosTiIqKTWJVB1J,48,2021-02-19,TRUE,2L31RjYHNNlydrzBEwDTD0
2VglI9HaCwWBOIjQdbDQ0D,0,2018-10-12,FALSE,2HvJ6f10UzSzlb8DDIz56p
6TQj22qKkIAd9cuBiFlvKf,46,2022-02-11,FALSE,3UHVdV8G1u2xI1t1qX9sSJ
7d8a8GcJ9INSFv2XFvsuD4,0,2021-01-15,TRUE,73wcGIFqY0E4o8TO0THN7h
2Qp0G6cKhUp1dfGhr993LS,59,2022-02-04,FALSE,1cJ3fNx6K47p4eDFqhnvsA
5vC9sf0NQ9eHRqP60843wa,36,2019-08-09,FALSE,3UAuEJoe412SEfWMnH9gTx
2yrdwMzK9HL3O7dGd79yoC,0,2019-05-17,TRUE,4vuV7xWL4TDaaO412nbhuK
7ulXID25r9OigM6NnvcNQH,34,2020-04-02,TRUE,2VL3frU1wUVP6xD1YbCXgb
2qmYKorKBBTe1lYdNl67jo,0,2018-06-01,TRUE,7vGLcXLRt7bccHfeILoc5d
3yoCLWSSlNqmfmHuZJl56O,17,2018-08-31,FALSE,2fqg9Rui1mgUBMZvodJCDn
5jmuiCbNU1SEvFKqMadOZR,63,1985,FALSE,6H1Ru58NKY7aNmHNEic44G
5pZBnM6qDRmqM0u9fnRsT4,39,2018-06-08,FALSE,3F4b8mXrnxIuARRjJlMuxa
58lc7n4rmCmsaJJjLVIUZz,47,2021-07-16,FALSE,3GSAsoS5Hw68C4YM69blIW
7gL1fgOhsIxZ6jtKhytd32,14,2006-01-01,FALSE,3HkkCV2VJbRXJ2mTiUPHqM
5RWIXuslfYTyJpHpy3U1fd,44,2021-10-22,FALSE,52Eswe56mkWTeoMOWkz941
1quQGugRRP3zIvZbcDUgjR,25,2019-04-09,FALSE,0oSIGsFbiEbeKpuFJnwyuv
