id,artist_id
7mcA9pVf113IKtPD2y7m1v,7yD78gcA2QR0sRQM4Lj7sM
75PKlzAafzst1IxfZuMLLQ,2WsJBNKG1rFTCNCRUAAmVp
3WSFb1npSDgcmQuobOz8xM,6Ry0CvCsPRp7Z9qewvxYBK
54funePHN0bqVljoXY1YVO,5kW2ng5av985BfqrOMRpk0
5uXc8RpwAwKylPa0qeBhJl,4mN0qcMxWX8oToqfDPM5yV
3N0gL4EypJfzJ6txDnIrDS,2SY6OktZyMLdOnscX3DCyS
5DrN2mYOFgINYelYx1P72l,5eir5zFJpES4j7gsymbVyl
6eCIYNIasTRya5UYBWjxSE,4lajcWQSiNMQ4b76eevJ5f
6ahXldp3LqIwbLGaxHdrxI,2E6AK3UPEGCvjnzuygCh2h
0TVIKvaFPadFszo3HESN4j,39wUlmskWbXVwU5Ttw2cJL
6t0YWXFvlbx0Blh7FuyCje,6W5uA6CNMf3hd2j4a2XWCx
59yhj1cvy9ZOlAXxpbqgdf,4aFRdYZpWEuAIA89aSnv7D
0lejBHA2u20jkxs38F26Hd,2LRoIwlKmHjgvigdNGBHNo
5c5cD2VQJcc7VScwW6Ra4k,30mNTnmvPn3HwXA5dW1Iza
02MmirShWWTuV6nfzQXNSa,6m735GSES3duQtLrgqoGUb
2Qtn6HgWDnHqiOTTLhlMDw,2C6i0I5RiGzDKN9IAF8reh
2DbL8TtXmJ5tnnkXeBk2IE,6KskOtymSG2RrswMdNC2zC
