region,id,top_position
Finland,2YO0cEL5FcsE2MfZgG5mVZ,151
Latvia,3soGpfgx6HxraJLWDuiL94,68
Japan,0P6AWOA4LG1XOctzaVu5tt,110
Indonesia,7yQLLJW6BYwi9xX5DuWcy6,160
Norway,1ISMa0THMDKFBq2UMfm02e,1
Turkey,5lK18Pt33xNudq4qYDxIm8,164
Malaysia,2TE4xW3ImvpltVU0cPcKUn,100
Germany,4bJygwUKrRgq1stlNXcgMg,112
Ireland,6zGPytJiZmFuyVq7RTNO9G,53
United Kingdom,27UcQ6dAvQrgH9C880rCM3,50
Viet Nam,2r5oD7twaQTsv5KoRS6v16,4
Honduras,2RJ1fg4qf2vgZKifTa4HgA,91
Denmark,1jbXYNuBFgN0BiNRO2cGov,64
Spain,1yCpJ5qmyM9UK7MXQCAyHh,164
Poland,5IhzJOXNE7ki0IIJbZbnGq,77
Peru,0Pe4DpJDmZtOybHgrZ1hyM,138
Canada,3Ho13bRS28xEvGvgW4LOFM,87
Belgium,0Z5ok0QLLttAKsujOZYOXf,96
South Africa,0tMSssfxAL2oV8Vri0mFHE,34
Global,69Y5IZuBvGyzySFt5x7kCq,186
Thailand,2Xqd0wUttjueBfdcltADOv,96
Germany,3b7V2fsO7jmO4gojZIk04e,59
Greece,794QVQtFNy7hvtjQP1keQd,49
Taiwan,7HC3sppue0re7HPfo5zscF,11
Sweden,6Zc5f20q7sOe1IC1c1jQvZ,185
Denmark,39Yp9wwQiSRIDOvrVg7mbk,2
Philippines,1n4jwRVXdkK2U34nBDUKKT,143
Austria,6zBdVVksaTQeAzwfszbovz,13
Ecuador,5o35aPa2xPLLC3rw7Hoc83,94
Switzerland,0tcCkwCtzCfRO1tBktCsuN,40
Switzerland,6JV2JOEocMgcZxYSZelKcc,25
Ukraine,1lc8mmvGe10NrsdYkcE1dU,74
Global,5GG3knKdxKWrNboRijxeKF,132
Portugal,6n2eIfLj0wOOUkUfNmYzlh,61
Iceland,2ZGEjmwyeZ3rpEezkZwqOP,41
Denmark,2pXpURmn6zC5ZYDMms6fwa,69
United Kingdom,5XkyZyKMdFungjDb9cUKc3,172
Finland,0p7XoJ1xnCmhiIXYUtNBBS,14
Switzerland,6xTU6B6nFwKKTSZ9ySXS80,8
Ukraine,0HjYtfJJtm4n1gX42DNt3Y,195
Finland,2dmZy75CTSv6BFo7IbO0eK,147
United Kingdom,2M6XU9RRpnoqwLeJsKbK9V,56
Denmark,2YHgFe9HuZNqMs0cKJyxud,18
Netherlands,4jm8ezJIgqaAwWW5A8am4i,74
Greece,6DwPwbRAeNqudOn0uBW1R0,14
Switzerland,4IO8X9W69dIQe0EC5ALXhq,143
Panama,4TGwERXRlyQtBdggYTHo6j,51
"Korea, Republic of",238Ra1ggmx3wUkHyZ8EjST,35
Slovakia,4VYEnxm7lmtG5sEEbcmORB,10
Spain,2btKz4s1XrMn5VHe7xZJpi,87
Spain,2EDXuNWn8sYH8k2KF8AmzP,169
Colombia,3cRJo0hXMcrXa7oLfAUU4d,77
Canada,66W1rVTnEv86dIkFhoiElg,84
Lithuania,1TIiWomS4i0Ikaf9EKdcLn,52
Hong Kong,2OALaHcDdKkjYEpAr0Qzab,6
Japan,51tqiwLXYtYvgO0da3Zx5L,176
Honduras,76DNqvSyzL9VCkhlnByqLf,17
Argentina,4d9T4bHs1vFSyk1EeB075m,65
Slovakia,6ZfZCDkSwZTYRn3GPIGGxT,7
Chile,2R1G6zNBdLR4VLZXqI99On,109
Czech Republic,7ohDUXs6SsU3XjTI9pcKTS,122
Latvia,43TP6JCWXgkc2D7Xjz5hBr,78
Global,4JeOesjcWWlprTAvucDSJX,152
Latvia,3FIOLubzv26R6ql1MJllu0,1
Taiwan,5ouNakSA4Ys0aJvoFBJtXn,26
France,0hCRy4wdGd3ovDhoDHW5JU,33
Dominican Republic,4FqfHVML025cwjfhAOFbfa,162
Sweden,18XlJEroUwFo0tLZxscgXE,66
Costa Rica,2UVbBKQOdFAekPTRsnkzcf,151
Bolivia,4jPy3l0RUwlUI9T5XHBW2m,128
Italy,2V7EiDaryzD6FP9q9mnJfb,27
United Kingdom,2ClE3QfsNx9p0zjPKxmUYq,200
Dominican Republic,4HOryCnbme0zBnF8LWij3f,109
France,6DOYcyXlutuZ807npR9T3E,170
Germany,4rs0jr2tC1Qg32Fm7zfdsT,6
Colombia,09nSCeCs6eYfAIJVfye1CE,34
Iceland,4p8133mAglBtWrr2smVm1p,28
Denmark,1O0MSAGbuAcCsY8IA2laMY,101
Portugal,1uh1iaMqBdx4XyrXhssKGD,58
Norway,4keoy2fqgwGnbWlm3ZVZFa,6
Switzerland,4TOmcZvw0gHa7GiXRbcYAW,148
Philippines,4PkIDTPGedm0enzdvilLNd,97
Sweden,3uVPLtkmDu8pDkYEAVqbgS,56
Argentina,3CACzG9I3AoKUKA3ODE5zW,2
Portugal,5WnfnSpuNEGXyEt78PBA6d,188
Portugal,6D2TCm4nf5nxAcdGJ7w3QP,32
Honduras,0oQc0F6KUE7QY7k5TU6bic,136
Latvia,1GkHyypTFkUf0QQKwYoXH4,41
Japan,1M7ZbLwoNgv0Kb4OvwPwpt,139
Greece,1PnAx788sAvcI3ZxTlEyX8,73
Brazil,5EpPmsMyOYId0GzjXdr5bX,68
Switzerland,5uBQSjUAcLv330154CZxoZ,154
Russian Federation,3pXJ4HcQJ9N7s6qsIqLZbU,138
France,7B9TO9Syt0JoFJIQAqtTYJ,53
